Question_ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option,Topic
530,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
531,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
532,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
533,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
534,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
535,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
536,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
537,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
538,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
539,Which of the following is a prime number?,15,21,29,35,C,Number System
540,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
541,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
542,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
543,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
544,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
545,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
546,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
547,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
548,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
549,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
550,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
551,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
552,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
553,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
554,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
555,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
556,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
557,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
558,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
559,Which of the following is a prime number?,15,21,29,35,C,Number System
560,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
561,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
562,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
563,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
564,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
565,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
566,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
567,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
568,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
569,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
570,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
571,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
572,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
573,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
574,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
575,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
576,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
577,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
578,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
579,Which of the following is a prime number?,15,21,29,35,C,Number System
580,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
581,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
582,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
583,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
584,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
585,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
586,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
587,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
588,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
589,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
590,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
591,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
592,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
593,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
594,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
595,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
596,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
597,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
598,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
599,Which of the following is a prime number?,15,21,29,35,C,Number System
600,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
601,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
602,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
603,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
604,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
605,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
606,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
607,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
608,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
609,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
610,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
611,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
612,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
613,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
614,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
615,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
616,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
617,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
618,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
619,Which of the following is a prime number?,15,21,29,35,C,Number System
620,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
621,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
622,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
623,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
624,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
625,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
626,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
627,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
628,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
629,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
630,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
631,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
632,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
633,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
634,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
635,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
636,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
637,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
638,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
639,Which of the following is a prime number?,15,21,29,35,C,Number System
640,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
641,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
642,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
643,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
644,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
645,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
646,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
647,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
648,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
649,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
650,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
651,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
652,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
653,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
654,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
655,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
656,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
657,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
658,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
659,Which of the following is a prime number?,15,21,29,35,C,Number System
660,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
661,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
662,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
663,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
664,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
665,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
666,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
667,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
668,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
669,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
670,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
671,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
672,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
673,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
674,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
675,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
676,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
677,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
678,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
679,Which of the following is a prime number?,15,21,29,35,C,Number System
680,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
681,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
682,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
683,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
684,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
685,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
686,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
687,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
688,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
689,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
690,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
691,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
692,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
693,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
694,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
695,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
696,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
697,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
698,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
699,Which of the following is a prime number?,15,21,29,35,C,Number System
700,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
701,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
702,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
703,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
704,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
705,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
706,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
707,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
708,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
709,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
710,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
711,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
712,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
713,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
714,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
715,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
716,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
717,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
718,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
719,Which of the following is a prime number?,15,21,29,35,C,Number System
720,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
721,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
722,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
723,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
724,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
725,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
726,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
727,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
728,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
729,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
730,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
731,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
732,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
733,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
734,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
735,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
736,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
737,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
738,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
739,Which of the following is a prime number?,15,21,29,35,C,Number System
740,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
741,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
742,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
743,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
744,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
745,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
746,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
747,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
748,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
749,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
750,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
751,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
752,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
753,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
754,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
755,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
756,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
757,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
758,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
759,Which of the following is a prime number?,15,21,29,35,C,Number System
760,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
761,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
762,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
763,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
764,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
765,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
766,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
767,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
768,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
769,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
770,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
771,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
772,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
773,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
774,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
775,What is the area of a circle with radius 7 cm?,145.5 cm²,154 cm²,163.5 cm²,172 cm²,B,Average
776,Find the perimeter of a rectangle with length 8 cm and width 5 cm.,26 cm,30 cm,34 cm,40 cm,A,Algebra
777,What is the probability of getting a head in a single coin toss?,0.25,0.5,0.75,1,B,Geometry
778,"If two dice are rolled, what is the probability of getting a sum of 7?",1/6,1/12,1/18,1/36,A,Probability
779,Which of the following is a prime number?,15,21,29,35,C,Number System
780,What is the HCF of 24 and 36?,6,8,12,24,C,Arithmetic
781,"If 25% of x is 150, what is x?",400,500,600,700,B,Time & Work
782,A number is increased by 20% and then decreased by 10%. What is the net change?,8% increase,10% increase,12% increase,15% increase,A,Speed & Distance
783,"The ratio of two numbers is 3:5. If their sum is 80, find the larger number.",30,40,50,60,C,Interest
784,A can complete a task in 10 days and B can complete it in 15 days. How long will it take if they work together?,5 days,6 days,7 days,8 days,B,Profit & Loss
785,"If 5 workers can build a wall in 20 days, how many days will 10 workers take?",5 days,10 days,15 days,20 days,B,Average
786,A train travels at 60 km/h for 2 hours and then at 80 km/h for 3 hours. What is the average speed?,70 km/h,72 km/h,74 km/h,76 km/h,C,Algebra
787,"If a car travels 300 km in 5 hours, what is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,Geometry
788,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1000,Rs. 1200,Rs. 1500,Rs. 1800,B,Probability
789,A sum doubles in 5 years at compound interest. In how many years will it become 8 times?,10 years,12 years,15 years,20 years,C,Number System
790,A shopkeeper buys a pen for Rs. 50 and sells it for Rs. 65. What is the profit percentage?,25%,30%,35%,40%,B,Arithmetic
791,"If cost price is Rs. 200 and profit is 20%, what is the selling price?",Rs. 220,Rs. 240,Rs. 260,Rs. 280,B,Time & Work
792,"The average of 5 numbers is 20. If one number is replaced with 30, the new average becomes 22. What was the number replaced?",10,15,20,25,A,Speed & Distance
793,"If 2x + 3 = 11, what is x?",3,4,5,6,B,Interest
794,Solve: 3x - 2y = 5 and x + y = 5. Find x.,2,3,4,5,C,Profit & Loss
