id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
590,Data Analyst,Business Intelligence Analyst,Orion Software,"Seattle, WA",Contract,"$95,000 – $120,000",We need a Business Intelligence Analyst to own analytics reporting and help the organization measure what matters.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing"", ""Code Review"", ""Confluence""]","[""Databricks"", ""Sigma"", ""Census"", ""Hightouch"", ""PagerDuty""]",3-5 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
591,Frontend Developer,Frontend Developer,Quantum Labs,"New York, NY",Full-time (Remote),"$150,000 – $180,000","As a Frontend Developer, you will own the frontend layer of our flagship product and drive UI excellence.","[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack""]","[""Storybook"", ""Cypress"", ""WebSockets"", ""Docker""]",7+ years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
592,Backend Developer,API Developer,DataVault Inc.,"Los Angeles, CA",Contract-to-Hire,"$120,000 – $150,000",We need a API Developer to take ownership of our backend infrastructure and drive reliability.,"[""Java"", ""Spring Boot"", ""MySQL"", ""Kafka"", ""Maven"", ""Git""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest"", ""New Relic"", ""PagerDuty""]",5-7 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
593,Full Stack Developer,Lead Full Stack Engineer,BlueSky Analytics,Hybrid – NYC,Contract,"$150,000 – $180,000",We are hiring a Lead Full Stack Engineer to work across our entire stack and deliver impactful product features.,"[""React"", ""Node.js"", ""PostgreSQL"", ""REST APIs"", ""Git""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform""]",3-5 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
594,Data Scientist,Applied Scientist,Pixel Dynamics,Remote,Full-time (Remote),"$80,000 – $100,000",We're seeking a Applied Scientist to turn raw data into actionable insights that drive product growth.,"[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""Microservices"", ""Jira""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark""]",2-4 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
595,Machine Learning Engineer,ML Engineer,Luminary Tech,Remote,Contract-to-Hire,"$120,000 – $150,000","As a ML Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""JAX"", ""Ray"", ""FastAPI"", ""Docker""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex"", ""PagerDuty""]",7+ years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
596,DevOps Engineer,Infrastructure Engineer,Apex Digital,"San Francisco, CA",Full-time (Remote),"$70,000 – $90,000",We need a Infrastructure Engineer to lead our DevOps transformation and drive continuous delivery at scale.,"[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python"", ""Git"", ""Code Review""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""Slack"", ""Postman""]",1-3 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
597,Cloud Engineer,AWS Cloud Engineer,BlueSky Analytics,"Toronto, ON",Full-time (Remote),"$70,000 – $90,000","We're looking for a AWS Cloud Engineer to lead our cloud strategy and enable faster, safer deployments.","[""GCP"", ""Terraform"", ""Go"", ""Kubernetes"", ""CI/CD""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco"", ""New Relic""]",3-5 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
598,Mobile App Developer,Flutter Developer,DataVault Inc.,"Seattle, WA",Full-time,"$90,000 – $110,000","As a Flutter Developer, you will own mobile feature development and ensure a world-class app experience.","[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git"", ""Microservices""]","[""Fastlane"", ""TestFlight"", ""Crashlytics"", ""WidgetKit"", ""Postman""]",2-4 years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
599,Cybersecurity Analyst,Cloud Security Engineer,Pixel Dynamics,"Boston, MA",Full-time (Remote),"$90,000 – $110,000","Join our security team as a Cloud Security Engineer and help detect, investigate, and respond to security incidents.","[""Zero Trust"", ""PAM"", ""DLP"", ""SOAR"", ""MITRE ATT&CK"", ""Git""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""PagerDuty"", ""Slack""]",2-4 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
600,Data Analyst,Business Intelligence Analyst,Pinnacle Software,"Austin, TX",Full-time (Remote),"$120,000 – $150,000","As a Business Intelligence Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git""]","[""GA4"", ""Heap"", ""Looker"", ""Salesforce"", ""Postman"", ""PagerDuty""]",0-1 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
601,Frontend Developer,Angular Developer,TechCorp,Hybrid – NYC,Full-time,"$120,000 – $150,000",Join our team as a Angular Developer and work on cutting-edge frontend applications that serve millions of users.,"[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack"", ""Jira"", ""Agile""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD"", ""BDD"", ""OpenAPI""]",0-1 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
602,Backend Developer,Backend Architect,Orion Software,"Toronto, Canada",Full-time,"$150,000 – $180,000",Join our engineering team as a Backend Architect and help design robust APIs and microservices.,"[""Java"", ""Spring Boot"", ""MySQL"", ""Kafka"", ""Maven"", ""REST APIs"", ""CI/CD""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest""]",0-1 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
603,Full Stack Developer,Lead Full Stack Engineer,Cobalt Platforms,"Chicago, IL",Full-time (Remote),"$80,000 – $100,000",Join us as a Lead Full Stack Engineer and help shape the full stack architecture of our growing platform.,"[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS"", ""Microservices"", ""Unit Testing""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""BDD"", ""OpenAPI""]",3-5 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
604,Data Scientist,Senior Data Scientist,Quantum Labs,"New York, NY",Full-time (Remote),"$90,000 – $110,000","Join our data science team as a Senior Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""CI/CD"", ""Confluence""]","[""Kubeflow"", ""Feature Store"", ""Great Expectations"", ""Ray""]",4-6 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
605,Machine Learning Engineer,Lead ML Engineer,Cascade Data,"Berlin, Germany",Full-time (Remote),"$80,000 – $100,000",We're looking for a Lead ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""TensorFlow"", ""PyTorch"", ""SQL"", ""Docker""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon"", ""PagerDuty""]",7+ years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
606,DevOps Engineer,Principal DevOps Engineer,InnovateTech,"Sydney, Australia",Contract,"$95,000 – $120,000",We are looking for a Principal DevOps Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Docker"", ""Kubernetes"", ""CI/CD"", ""Linux"", ""Git""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki"", ""New Relic"", ""PagerDuty""]",3-5 years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
607,Cloud Engineer,Cloud Engineer,BlueSky Analytics,"Berlin, Germany",Contract,"$150,000 – $180,000","As a Cloud Engineer, you will own our cloud environment and drive best practices across teams.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Jira"", ""Git""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie""]",3-5 years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
608,Mobile App Developer,Cross-platform Mobile Developer,Pinnacle Software,Remote,Full-time,"$110,000 – $130,000",Join our mobile team as a Cross-platform Mobile Developer and help ship features to millions of iOS and Android users.,"[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git"", ""Jira"", ""Microservices""]","[""Expo"", ""GraphQL"", ""Storybook"", ""Detox""]",2-4 years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
609,Cybersecurity Analyst,SOC Analyst,InnovateTech,Remote,Contract-to-Hire,"$110,000 – $130,000",We need a SOC Analyst to lead our security operations and build a resilient security posture.,"[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10"", ""Unit Testing"", ""REST APIs""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""Scrum"", ""Swagger""]",2-4 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
610,Data Analyst,Marketing Data Analyst,BlueSky Analytics,"Toronto, Canada",Full-time (Hybrid),"$90,000 – $110,000",We're looking for a Marketing Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing"", ""Unit Testing""]","[""R"", ""Airflow"", ""BigQuery"", ""Segment"", ""Postman"", ""Scrum""]",1-3 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
611,Frontend Developer,Frontend Architect,Apex Digital,Singapore,Contract,"$120,000 – $150,000","We're hiring a Frontend Architect to craft intuitive, performant UIs for our SaaS platform.","[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma"", ""Confluence"", ""CI/CD""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma"", ""PagerDuty"", ""Slack""]",1-3 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
612,Backend Developer,Junior Backend Developer,NovaTech Solutions,"Denver, CO",Full-time,"$70,000 – $90,000",Join our engineering team as a Junior Backend Developer and help design robust APIs and microservices.,"[""Python"", ""FastAPI"", ""SQLAlchemy"", ""Redis"", ""RabbitMQ"", ""Microservices""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest""]",5-7 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
613,Full Stack Developer,Full Stack JavaScript Developer,Cobalt Platforms,Singapore,Full-time,"$95,000 – $120,000",Join us as a Full Stack JavaScript Developer and help shape the full stack architecture of our growing platform.,"[""Next.js"", ""TypeScript"", ""Node.js"", ""GraphQL"", ""PostgreSQL"", ""Linux"", ""Agile""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions""]",5-7 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
614,Data Scientist,Principal Data Scientist,Horizon Engineering,"Boston, MA",Contract-to-Hire,"$95,000 – $120,000",We need a Principal Data Scientist to lead our analytics and modeling efforts across key business verticals.,"[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git""]","[""Kubeflow"", ""Feature Store"", ""Great Expectations"", ""Ray"", ""New Relic"", ""OpenAPI""]",2-4 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
615,Machine Learning Engineer,NLP Engineer,Stratos AI,"Toronto, Canada",Full-time (Remote),"$150,000 – $180,000","As a NLP Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS"", ""Unit Testing"", ""Git""]","[""Vertex AI"", ""SageMaker"", ""Feast"", ""Kubeflow"", ""BDD""]",7+ years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
616,DevOps Engineer,Site Reliability Engineer,TechCorp,"San Francisco, CA",Full-time (Hybrid),"$200,000 – $250,000",Join our platform team as a Site Reliability Engineer and enable engineering velocity through world-class DevOps practices.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash"", ""Confluence""]","[""Flux"", ""Kustomize"", ""Falco"", ""Jaeger""]",7+ years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
617,Cloud Engineer,Lead Cloud Engineer,Quantum Labs,"Boston, MA",Full-time (Remote),"$200,000 – $250,000",Join our cloud team as a Lead Cloud Engineer and help architect the next generation of our platform.,"[""GCP"", ""Terraform"", ""Go"", ""Kubernetes"", ""CI/CD"", ""Microservices""]","[""Azure Policy"", ""Bicep"", ""Defender for Cloud"", ""Sentinel""]",7+ years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
618,Mobile App Developer,Cross-platform Mobile Developer,Quantum Labs,"Toronto, Canada",Contract-to-Hire,"$130,000 – $160,000","We are looking for a Cross-platform Mobile Developer to build beautiful, performant mobile experiences for our users.","[""Swift"", ""SwiftUI"", ""Xcode"", ""REST APIs"", ""Git""]","[""Espresso"", ""Detox"", ""Firebase"", ""Bitrise"", ""Scrum"", ""Slack""]",2-4 years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
619,Cybersecurity Analyst,Security Operations Engineer,Nexus Systems,"Atlanta, GA",Contract-to-Hire,"$110,000 – $130,000","As a Security Operations Engineer, you will be at the forefront of our cyber defense strategy.","[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10""]","[""Cobalt Strike"", ""OSCP"", ""Red Team"", ""Purple Team""]",6-8 years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
620,Data Analyst,Marketing Data Analyst,Orion Software,"Chicago, IL",Contract-to-Hire,"$130,000 – $160,000",We're looking for a Marketing Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Excel"", ""Tableau"", ""Python"", ""Data Visualization""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Scrum"", ""TDD""]",7+ years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
621,Frontend Developer,Frontend Developer,Stratos AI,"London, UK",Full-time,"$150,000 – $180,000",Join our team as a Frontend Developer and work on cutting-edge frontend applications that serve millions of users.,"[""HTML"", ""CSS"", ""JavaScript"", ""Next.js"", ""GraphQL"", ""Git"", ""Jira""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma""]",0-1 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
622,Backend Developer,Backend Architect,Orion Software,Hybrid – SF,Full-time (Hybrid),"$150,000 – $180,000",We're looking for a skilled Backend Architect to build the backbone of our cloud-native applications.,"[""Node.js"", ""Express"", ""MongoDB"", ""Docker"", ""Redis""]","[""AWS"", ""Microservices"", ""JUnit"", ""Prometheus"", ""Pair Programming"", ""Slack""]",5-7 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
623,Full Stack Developer,Software Engineer – Full Stack,Quantum Labs,"San Francisco, CA",Full-time,"$70,000 – $90,000",We are hiring a Software Engineer – Full Stack to work across our entire stack and deliver impactful product features.,"[""React"", ""Node.js"", ""PostgreSQL"", ""REST APIs"", ""Git"", ""Jira""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions""]",3-5 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
624,Data Scientist,Staff Data Scientist,Quantum Labs,"Boston, MA",Full-time (Remote),"$200,000 – $250,000","As a Staff Data Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""CI/CD""]","[""Looker"", ""Snowflake"", ""XGBoost"", ""Weights & Biases""]",6-8 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
625,Machine Learning Engineer,Research Engineer,Pixel Dynamics,"New York, NY",Full-time,"$90,000 – $110,000",Join our AI team as a Research Engineer and work on cutting-edge models deployed at scale.,"[""Python"", ""TensorFlow"", ""Spark"", ""Airflow"", ""PostgreSQL"", ""Confluence""]","[""Vertex AI"", ""SageMaker"", ""Feast"", ""Kubeflow"", ""Postman""]",7+ years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
626,DevOps Engineer,Release Engineer,Stratos AI,"Toronto, Canada",Full-time (Remote),"$200,000 – $250,000","As a Release Engineer, you will own the reliability, scalability, and security of our cloud infrastructure.","[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python"", ""Microservices""]","[""Spinnaker"", ""Atlantis"", ""OPA"", ""Linkerd"", ""Pair Programming"", ""Postman""]",3-5 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
627,Cloud Engineer,Cloud Platform Engineer,Horizon Engineering,Hybrid – NYC,Full-time,"$200,000 – $250,000","We're looking for a Cloud Platform Engineer to lead our cloud strategy and enable faster, safer deployments.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Jira""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco"", ""Slack""]",3-5 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
628,Mobile App Developer,Lead Mobile Engineer,Synapse AI,Hybrid – SF,Full-time (Remote),"$130,000 – $160,000",Join our mobile team as a Lead Mobile Engineer and help ship features to millions of iOS and Android users.,"[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git"", ""Jira"", ""Microservices""]","[""Fastlane"", ""TestFlight"", ""Crashlytics"", ""WidgetKit""]",2-4 years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
629,Cybersecurity Analyst,Security Operations Engineer,Stratos AI,"San Francisco, CA",Contract-to-Hire,"$200,000 – $250,000","Join our security team as a Security Operations Engineer and help detect, investigate, and respond to security incidents.","[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10""]","[""CISSP"", ""CEH"", ""CrowdStrike"", ""Palo Alto"", ""Swagger""]",6-8 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
630,Data Analyst,Operations Analyst,Quantum Labs,"Amsterdam, Netherlands",Contract,"$200,000 – $250,000",Join our analytics team as a Operations Analyst and help us build a data-driven culture.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing"", ""Unit Testing"", ""Agile""]","[""Databricks"", ""Sigma"", ""Census"", ""Hightouch"", ""TDD""]",0-1 years,"[""Lead the analytics function for a key business vertical"", ""Define analytics strategy and OKR tracking frameworks"", ""Build and mentor a team of data analysts"", ""Drive adoption of data-driven decision making across the organization"", ""Own the data warehouse layer for business-facing reporting""]"
631,Frontend Developer,Vue.js Developer,InnovateTech,"Toronto, ON",Full-time (Hybrid),"$80,000 – $100,000",Join our team as a Vue.js Developer and work on cutting-edge frontend applications that serve millions of users.,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Git"", ""Linux"", ""Jira""]","[""WebAssembly"", ""PWA"", ""Nx Monorepo"", ""Chromatic"", ""BDD""]",1-3 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
632,Backend Developer,Node.js Developer,InnovateTech,"Los Angeles, CA",Full-time (Hybrid),"$150,000 – $180,000",We need a Node.js Developer to take ownership of our backend infrastructure and drive reliability.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes""]","[""Istio"", ""Helm"", ""Jaeger"", ""Vault"", ""Slack"", ""OpenAPI""]",0-1 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
633,Full Stack Developer,Full Stack Developer,Stratos AI,"New York, NY",Contract,"$200,000 – $250,000","As a Full Stack Developer, you will own features from database to UI in a fast-paced startup environment.","[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Confluence"", ""Code Review""]","[""Jest"", ""Cypress"", ""Kafka"", ""Helm""]",5-7 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
634,Data Scientist,Senior Data Scientist,Stratos AI,"Sydney, Australia",Full-time,"$70,000 – $90,000",We're seeking a Senior Data Scientist to turn raw data into actionable insights that drive product growth.,"[""Python"", ""Statsmodels"", ""SQL"", ""Tableau"", ""Git"", ""Agile"", ""CI/CD""]","[""Kubeflow"", ""Feature Store"", ""Great Expectations"", ""Ray""]",4-6 years,"[""Lead a team of data scientists on core recommendation algorithms"", ""Drive the research agenda for new modeling approaches"", ""Define and track model performance KPIs in production"", ""Establish MLOps best practices including model versioning and monitoring"", ""Publish internal research papers and present at conferences""]"
